id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre
6qc34bnVOyqGDPni8H5W0U,Amazed,3qbnxnvUqR14MJ9g8QwZJK,Lonestar,7ykiOoPC4GLrVYSDVdDGq2,Lonely Grill,1999,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,audio_features,spotify:track:6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4,country
3EUl8M6SzxZl03NPkB8mUd,Neon Moon,0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,1ZXM9jY3Bsg12KXgwftBrO,#1s ... and then some,2009-09-08,https://api.spotify.com/v1/tracks/3EUl8M6SzxZl03NPkB8mUd,0.698,0.632,9,-6.508,1,0.0247,0.554,0.0,0.118,0.458,102.408,audio_features,spotify:track:3EUl8M6SzxZl03NPkB8mUd,https://api.spotify.com/v1/tracks/3EUl8M6SzxZl03NPkB8mUd,https://api.spotify.com/v1/audio-analysis/3EUl8M6SzxZl03NPkB8mUd,263760,4,country
7lUE02KHkZM44BZgjCaWRO,Meet In the Middle,0svyIX7Xu3DVMkrOtB88i6,Diamond Rio,5zpRuHrOSBkOrop2DJvBcr,Diamond Rio,1991-07-01,https://api.spotify.com/v1/tracks/7lUE02KHkZM44BZgjCaWRO,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,audio_features,spotify:track:7lUE02KHkZM44BZgjCaWRO,https://api.spotify.com/v1/tracks/7lUE02KHkZM44BZgjCaWRO,https://api.spotify.com/v1/audio-analysis/7lUE02KHkZM44BZgjCaWRO,198333,4,country
2ulBBx6YQ3qY3ci34RadtN,She's In Love With The Boy - Single Version,3XlIhgydjvC4EniPFZT20j,Trisha Yearwood,6US5XlX7w7nL9pRE0F5jeI,Trisha Yearwood,1991-01-01,https://api.spotify.com/v1/tracks/2ulBBx6YQ3qY3ci34RadtN,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,audio_features,spotify:track:2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/tracks/2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/audio-analysis/2ulBBx6YQ3qY3ci34RadtN,248200,4,country
3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,2M4Yt7oKGoYd0wqU44k4i2,Travis Tritt,2ewYJg5AuA9bXWrvOs1mtB,Down The Road I Go,2000-10-01,https://api.spotify.com/v1/tracks/3oW6SWwGqiZSPTiAp7ZQoH,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,audio_features,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,https://api.spotify.com/v1/tracks/3oW6SWwGqiZSPTiAp7ZQoH,https://api.spotify.com/v1/audio-analysis/3oW6SWwGqiZSPTiAp7ZQoH,241533,4,country
0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,4MPkNgar5uTd8Sqvrr7par,Clay Walker,6dOT94cdPmoPv4ddHHeuo1,She Won't Be Lonely Long,2010-06-08,https://api.spotify.com/v1/tracks/0158TMiGmHyibaDeaUKayX,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,audio_features,spotify:track:0158TMiGmHyibaDeaUKayX,https://api.spotify.com/v1/tracks/0158TMiGmHyibaDeaUKayX,https://api.spotify.com/v1/audio-analysis/0158TMiGmHyibaDeaUKayX,209253,4,country
0MjT9xQqJrQlNrkWKZgFbQ,I'm Alright,3ltFy7g6KKQPPttsdOMlq3,Jo Dee Messina,4UuS4hlOMP5akz21glTQCL,I'm Alright,1998-03-17,https://api.spotify.com/v1/tracks/0MjT9xQqJrQlNrkWKZgFbQ,0.676,0.733,0,-7.745,1,0.0294,0.191,0.0,0.192,0.591,98.234,audio_features,spotify:track:0MjT9xQqJrQlNrkWKZgFbQ,https://api.spotify.com/v1/tracks/0MjT9xQqJrQlNrkWKZgFbQ,https://api.spotify.com/v1/audio-analysis/0MjT9xQqJrQlNrkWKZgFbQ,199040,3,country
0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),7mPcfx7PhnBh6n4HMCd61A,John Michael Montgomery,5UPjyfi3zD7Oak7frjH8zk,John Michael Montgomery,1995-03-17,https://api.spotify.com/v1/tracks/0NLBwQBYJhEM9t3KAMPFVR,0.771,0.848,2,-7.365,1,0.035,0.108,0.0,0.35,0.803,115.642,audio_features,spotify:track:0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/tracks/0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/audio-analysis/0NLBwQBYJhEM9t3KAMPFVR,152187,4,country
1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",1pTuR132U5b4Rizal2Pr7m,Randy Travis,28ZWOeiZ8l4Uydl3hZjvgv,Always & Forever,1987-05-04,https://api.spotify.com/v1/tracks/1ipcb9qXpSHWhSUvdxJhsx,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,audio_features,spotify:track:1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/tracks/1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/audio-analysis/1ipcb9qXpSHWhSUvdxJhsx,212640,4,country
7Efs0OIW6zgQyH7ehKZYpN,You're Gonna Miss This,79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,3Ayxk9tKhpAE9gffRUWfDi,American Man: Greatest Hits Vol. II,2007-12-04,https://api.spotify.com/v1/tracks/7Efs0OIW6zgQyH7ehKZYpN,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997,audio_features,spotify:track:7Efs0OIW6zgQyH7ehKZYpN,https://api.spotify.com/v1/tracks/7Efs0OIW6zgQyH7ehKZYpN,https://api.spotify.com/v1/audio-analysis/7Efs0OIW6zgQyH7ehKZYpN,224960,4,country
